	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2
egl-9	54.54	132.32	85.79	111.43	106.4	114.99
ego-1	546.56	359.19	330.03	457.78	185.29	683.24
ego-2	41.56	69.67	214.48	24.15	36.41	4.89
egrh-1	113.99	104.8	268.97	79.59	51.38	79.52
egrh-2	4.04	2.05	1.55	11.53	0	19.57
egrh-3	0	4.1	0	12.08	0	0.61
ehbp-1	405.45	305.91	573.49	476.44	64.73	331.53
ehn-3	0	0	0	0	0	0
ehs-1	115.43	122.66	272.83	234.93	183.27	428.17
eif-1	209.8	207.26	151.87	85.63	160.21	80.74
eif-1.A	221.92	300.93	171.2	222.85	305.85	200.63
eif-3.B	62.62	88.11	100.48	160.28	145.24	162.09
eif-3.C	354.37	358.6	473.02	748.69	277.13	690.58
eif-3.D	139.67	113.58	241.14	199.25	59.88	122.34
eif-3.E	53.68	77.57	21.64	68.06	24.27	50.16
eif-3.F	381.21	362.7	309.55	90.57	102.35	247.12
eif-3.G	49.35	174.18	36.71	73	30.75	31.2
eif-3.H	143.71	73.18	39.03	33.48	42.48	59.33
eif-3.I	46.17	33.37	101.25	32.38	15.37	7.34
eif-3.J	79.07	204.33	119.8	85.08	38.84	112.55
eif-3.K	258.85	180.62	144.15	123.5	165.87	103.37
eif-6	153.52	253.51	120.96	103.19	225.34	102.15
ekl-1	146.89	177.4	121.73	155.89	79.7	143.13
ekl-4	153.23	213.7	190.91	121.85	109.64	216.53
ekl-5	272.99	395.19	237.67	419.9	233.03	360.89
ekl-6	155.25	82.55	167.72	297.5	247.59	339.48
elb-1	66.95	57.08	52.56	36.23	37.22	12.23
elc-1	0	19.03	0	0	0	0
elc-2	0	0	0	0	0	0
elks-1	18.76	34.84	112.46	94.41	84.96	199.41
ell-1	126.4	127.63	248.1	126.25	156.97	94.81
elo-1	521.75	430.32	374.08	248.1	262.56	281.37
elo-2	53.96	29.27	13.91	65.32	103.97	40.98
elo-3	3.75	1.46	0	13.17	0	0
elo-4	0	20.2	0	1.1	0	0
elo-5	6.64	10.54	0	0	0.4	0
elo-6	65.51	10.25	7.34	21.41	0	28.75
elo-7	0	0	0	0	0	0
elo-8	0	0.29	0	0	0	0
elo-9	0	0	0	0	0	0
elp-1	0	0	0	0	0	0
elpc-1	112.54	107.14	216.8	377.64	175.99	365.17
elpc-2	32.9	21.37	15.07	176.74	49.76	130.9
elpc-3	32.61	55.62	8.12	80.14	343.88	152.31
elpc-4	26.26	112.7	0	46.11	166.68	97.87
elt-1	64.06	56.79	0	46.66	0	103.37
elt-2	0	0	0	0	0	0
elt-3	0	0	0	0	0	0
elt-4	0	0	0	0	0	0
elt-6	42.42	7.61	0	16.47	0	21.41
elt-7	4.91	0	0	27.99	0	37.31
emb-27	56.56	83.14	81.93	246.45	118.54	341.93
emb-30	348.31	203.16	22.03	268.41	171.94	329.69
emb-4	159.29	148.71	98.93	73	85.77	112.55
emb-5	333.88	198.18	246.17	664.71	199.85	367.01
emb-8	188.44	146.66	264.33	279.94	163.85	495.46
emb-9	0	0	0	0	0	0
emo-1	123.22	180.32	92.75	40.07	77.68	60.56
emr-1	133.9	167.15	44.06	64.22	126.63	70.95
end-1	0	0	5.02	20.31	0	0
end-3	0	1.76	0	0	0	0
eng-1	49.64	16.1	0	16.47	23.06	18.96
enol-1	625.06	591.03	834.73	933.12	1296.22	983.57
ent-1	437.77	493.55	378.72	546.15	320.82	422.06
ent-2	163.33	156.32	103.96	152.59	220.89	86.86
ent-3	0	0	0	25.8	0	0
eor-1	104.46	46.84	305.3	384.77	21.04	158.42
eor-2	111.68	100.41	204.05	199.8	64.33	211.64
epac-1	0	0	0	0	0	0
epc-1	121.78	131.44	166.95	43.91	61.9	102.76
epg-2	0.87	0.59	20.48	0.55	0	0
epg-3	0	2.63	0	0	0	0
epg-4	341.67	477.45	405.39	279.94	406.99	310.73
epg-5	4.91	7.32	0.39	2.2	0	0
epi-1	0	0	0	0	0	0
epn-1	198.54	311.18	323.46	244.81	246.38	342.54
eps-8	48.19	25.18	123.28	20.31	0	6.12
ercc-1	69.55	164.22	104.73	99.35	116.92	97.26
erd-2	305.6	134.66	285.97	199.8	18.21	39.76
ergo-1	358.41	256.73	495.82	761.31	406.18	570.08
eri-1	264.62	161.3	40.96	178.39	28.72	204.3
eri-3	79.36	53.28	59.9	65.87	169.92	41.59
eri-5	81.38	116.8	111.3	79.59	29.13	85.63
eri-6	6.93	100.12	0	6.04	0	0.61
eri-7	307.05	150.47	111.3	194.31	103.57	189.01
eri-9	304.74	224.82	185.5	240.42	115.71	165.76
erl-1	171.7	129.1	183.56	124.6	194.19	162.71
erm-1	206.62	157.2	305.3	361.17	91.03	113.77
ero-1	269.24	131.73	132.94	142.71	94.26	412.27
erp-1	79.36	110.65	68.4	99.9	100.33	23.86
erv-46	62.62	45.08	171.2	44.46	59.88	17.74
ess-2	188.73	233.31	219.5	281.03	126.63	100.93
esyt-2	42.13	63.82	27.82	37.32	0	100.93
etr-1	251.64	284.54	171.58	212.97	166.68	133.96
ets-4	0	0	0	0	0	0
ets-5	0	0	0	0	0	0
eva-1	0	0.29	0	0	0	0
evl-14	185.84	120.9	258.92	266.21	158.18	187.78
evl-20	38.38	122.95	26.28	3.29	6.47	21.41
exc-4	0.29	0	0	5.49	0	18.96
exc-5	1.15	98.94	0	18.11	30.75	0.61
exc-7	7.5	0	0	25.8	0	0
exc-9	3.17	4.68	0	0	38.84	0
exl-1	36.65	60.89	47.53	52.69	69.18	15.29
exo-1	144.29	124.41	179.31	221.75	194.19	228.77
exo-3	98.98	107.73	169.27	59.28	153.33	70.34
exoc-7	92.06	180.91	116.32	143.81	47.33	65.45
exoc-8	214.12	222.19	210.62	302.99	385.15	187.78
exos-1	63.49	82.55	97	23.6	51.38	14.07
exos-2	124.95	121.19	51.01	71.9	275.91	59.94
exos-3	265.49	318.2	69.17	82.88	172.34	77.07
exos-4.1	148.91	189.99	88.88	103.74	146.05	69.12
exos-4.2	0.58	23.42	0	9.88	33.58	1.84
exos-7	96.67	91.33	85.41	15.37	0.4	25.69
exos-8	277.32	192.91	269.74	146.01	296.14	183.5
exos-9	178.05	111.24	42.12	166.86	86.17	129.06
exp-1	0	0	0	0	0	0
exp-2	0	0	0	0	0	0
eya-1	53.68	1.17	0	7.14	33.17	2.45
eyg-1	0	0	0	0	0	0
F01D4.3	0	0	0	0	0	0
F01D4.5	131.88	188.52	157.67	38.97	179.63	48.93
F01D4.8	0	0	0	0	0	0
F01D4.9	0	0	0	0	0	0
F01D5.1	0	0	0.39	0	0	0
F01D5.10	0	0	0	0	0	0
F01D5.12	0	0	0	0	0	0
F01D5.13	0	0	0	0	0	0
F01D5.14	0	0	0	0	0	0
F01D5.2	0	0	0	0	0	0
F01D5.3	0	0	0	0	0	0
F01D5.4	0	0	0	0	0	0
F01D5.5	0	0	0	0	0	0
F01D5.6	0	0	0	0	0	0
F01D5.7	0	0	0	0	0	0
F01D5.8	0	0	0	0	0	0
F01E11.10	0	0	0	0	0	0
F01E11.11	0	0	0	0	0	0
F01E11.12	0	0	0	0	0	0
F01E11.13	0	0	0	0	0	0
F01E11.14	0	0	0	0	0	0
F01E11.15	0	0	0	0	0	0
F01E11.16	0	0	0	0	0	0
F01E11.3	0	0	0	0	0	0
F01E11.8	0	0	0	0	0	0
F01E11.9	0	0	0	0	0	0
F01F1.1	33.19	90.75	58.35	67.51	0	79.52
F01F1.11	372.26	421.54	741.98	509.37	700.71	565.19
F01F1.14	0	0	0	0	0	0
F01F1.15	93.21	87.53	8.89	20.31	18.61	39.76
F01F1.16	0	0	0	0	0	0
F01F1.2	188.15	138.76	181.63	42.81	204.71	59.33
F01F1.3	24.82	28.4	0	0	0	10.4
F01F1.9	64.35	51.23	103.96	88.92	30.75	67.9
F01G10.10	1.44	0	0	1.1	0	0
F01G10.11	0	0	0	0	0	0
F01G10.20	0	0	0	0	0	0
F01G10.4	0	0	0	0	0	0
F01G10.5	0	0	0	0	0	0
F01G10.6	0	0	0	0	0	0
F01G10.9	0	0	0	0	0	0
F01G12.1	0	0	0	0	0	0
F01G12.10	0	0	0	0	0	0
F01G12.11	0	0	0	0	0	0
F01G12.12	0	0	0	0	0	0
F01G12.13	0	0	0	0	0	0
F01G12.14	0	0	0	0	0	0
F01G12.15	0	0	0	0	0	0
F01G12.16	0	0	0	0	0	0
F01G12.17	0	0	0	0	0	0
F01G12.9	0	0	0	0	0	0
F01G12.t1	0	0	0	0	0	0
F01G4.3	116.01	93.97	258.15	176.19	123.8	234.88
F01G4.4	51.94	80.79	30.92	156.43	99.52	189.62
F01G4.5	80.22	103.04	57.97	0.55	0	1.22
F01G4.6	581.19	715.74	763.24	796.44	652.56	727.89
F02A9.1	0	0	0	0	0	0
F02A9.4	507.9	496.77	394.57	397.4	404.16	411.05
F02A9.7	0	0	0	0	0	0
F02A9.8	0	0	0	0	0	0
F02A9.9	0	0	0	0	0	0
F02C12.1	0	0	0	0	0	0
F02C12.10	0	0	0	0	0	0
F02C12.2	0	0	0	0	0	0
F02C12.3	0	0	0	0	0	0
F02C12.4	0	0	0	0	0	0
F02C12.7	0	0	0	0	0	0
F02C12.8	0	0	0	0	0	0
F02C12.9	0	0	0	0	0	0
F02C9.1	0	0	0	0	0	0
F02C9.2	0	0	0	0	0	0
F02C9.4	0	0	0	0	0	0
F02D10.10	0	0	0	0	0	0
F02D10.11	0	0	0	0	0	0
F02D10.12	0	0	0	0	0	0
F02D10.13	0	0	0	0	0	0
F02D10.14	0	0	0	0	0	0
F02D10.2	0	0	0	0	0	0
F02D10.3	0	0	0	0	0	0
F02D10.6	77.63	79.33	4.64	27.99	0	22.63
F02D10.t2	0	0	0	0	0	0
F02D10.t3	0	0	0	0	0	0
F02D8.1	0	0	0	0	0	0
F02D8.4	0	0	0	0	0	0
F02D8.5	0	0	0	0	0	0
F02D8.8	0	0	0	0	0	0
F02E11.2	0	0	0	0	0	0
F02E11.3	5.19	10.83	0	0	29.94	0
F02E11.4	0	0	0	0	0	0
F02E11.7	0	0	0	0	0	0
F02E11.8	0	0	0	0	0	0
F02E11.t1	0	0	0	0	0	0
F02E8.10	0	0	0	0	0	0
F02E8.11	0	0	0	0	0	0
F02E8.12	0	0	0	0	0	0
F02E8.4	402.85	488.87	385.68	543.4	730.24	637.37
F02E8.7	0	0	0	0	0	0
F02E8.8	0	0	0	0	0	0
F02E8.9	0	0	0	0	0	0
F02E9.1	55.12	84.02	147.24	37.32	54.62	32.42
F02E9.10	96.1	137.88	230.32	232.73	500.45	258.13
F02E9.3	0	0	0	0	0	36.7
F02E9.5	135.92	128.8	229.94	70.81	222.51	83.19
F02E9.7	237.5	217.21	107.05	132.83	172.75	227.54
F02E9.8	0	0	0	0	0	0
F02E9.9	202.87	141.1	176.61	238.22	78.49	55.66
F02G3.2	0	0	0	0	0	0
F02G3.3	0	0	0	0	0	0
F02G3.4	0	0	0	0	0	0
F02G3.5	0	0	0	0	0	0
F02G3.6	0	0	0	0	0	0
F02G3.7	0	0	0	0	0	0
F02H6.1	0	0	0	0	0	0
F02H6.2	272.13	169.2	308.77	209.68	227.37	260.57
F02H6.3	290.02	178.28	218.34	225.05	25.49	253.85
F02H6.4	35.78	40.69	151.49	130.09	160.61	133.96
F02H6.6	0	0	0	0	0	0
F02H6.7	0	0	0	0	0	0
F02H6.72	0	0	0	0	0	0
F02H6.t1	0	0	0	0	0	0
F07A11.1	54.25	0	0	0	0	0
F07A11.10	0	0	0	0	0	0
F07A11.11	0	0	0	0	0	0
F07A11.12	0	0	0	0	0	0
F07A11.13	0	0	0	0	0	0
F07A11.14	0	0	0	0	0	0
F07A11.2	66.37	69.67	121.35	219.56	50.57	195.74
F07A11.4	2.31	2.05	0	0	0	0
F07A11.5	0	2.34	0	0	0	0
F07A11.9	0	0	0	0	0	0
F07A5.2	55.98	0	0	0	0	22.02
F07A5.4	0	0	0	29.09	0	0
F07B10.4	0	0	0	0	0	0
F07B10.7	0	0	0	0	0	0
F07B10.8	0	0	0	0	0	0
F07B7.1	0	0	0	0	0	0
F07B7.12	0	0	0	0	0	0
F07B7.13	0	0	0	0	0	0
F07B7.14	0	0	0	0	0	0
F07B7.15	0	0	0	0	0	0
F07B7.16	0	0	0	0	0	0
F07B7.2	0	0	0	0	0	0
F07B7.7	0	0	0	0	0	0
F07B7.8	0	0	0	0	0	0
F07C3.11	0	0	0	0	0	0
F07C3.12	0	0	0	0	0	0
F07C3.13	0	0	0	0	0	0
F07C3.14	0	0	0	0	0	0
F07C3.15	0	0	0	0	0	0
F07C3.2	0	0	0	0	0	0
F07C3.3	0	9.95	0	0	0	0
F07C3.9	0	0	0	0	0	0
F07C4.10	0	0	0	0	0	0
F07C4.11	0	0	0	0	0	0
F07C4.12	0	0	0	0	0	0
F07C4.16	0	0	0	0	0	0
F07C4.6	0	0	0	0	0	0
F07C6.2	0	0	0	0	0	0
F07C6.3	0	0	0	0	0	0
F07C6.4	13.27	76.11	146.08	23.6	76.46	89.3
F07C6.5	0	0	0	0	0	0
F07C6.6	0	0	0	0	0	0
F07C6.7	0	0	0	0	0	0
F07D3.3	0	0	0	0	0	0
F07E5.10	0	0	0	0	0	0
F07E5.11	0	0	0	0	0	0
F07E5.4	0	0	0	0	0	0
F07E5.5	18.18	33.08	0.77	6.04	16.59	11.62
F07E5.7	0	0	0	0	0	0
F07E5.8	0	0	0	0	0	0
F07E5.9	0	0	0	0	0	0
F07F6.1	0	0	0	0	0	0
F07F6.10	0	0	0	0	0	0
F07F6.2	0	0	0	0	0	0
F07F6.4	147.75	164.81	44.83	75.2	184.48	127.84
F07F6.7	8.66	0	0	0	0	0
F07F6.8	145.15	187.94	132.55	92.21	190.15	99.09
F07G11.1	0	0	0	0	0	0
F07G11.10	0	0	0	0	0	0
F07G11.2	0	0	0	0	0	0
F07G11.3	0	0	0	0	0	0
F07G11.4	0	0	0	0	0	0
F07G11.6	0	0	0	0	0	0
F07G11.7	0	0	0	0	0	0
F07G11.9	0	0	0	0	0	0
F07G6.10	0	0	0	0	0	0
F07G6.2	0	0	0	0	0	0
F07G6.3	0	0	0	0	0	0
F07G6.5	0	0	0	0	0	0
F07G6.8	0	0	0	0	0	0
F07G6.9	0	0	0	0	0	0
F07H5.10	206.62	250.58	122.5	142.16	122.18	196.96
F07H5.13	9.81	25.18	0	1.65	0.4	0
F07H5.3	0	0	0	0	0	8.56
F07H5.4	0	0	0	0	0	0
F07H5.5	121.78	107.43	247.33	40.07	101.55	117.44
F07H5.6	0	0	0	0	0	0
F07H5.7	0	0	0	0	0	0
F07H5.8	0	0	0	0	0	0
F08A7.1	0	0	0	0	0	0
F08A8.10	0	0	0	0	0	0
F08A8.2	0	0	0	0	0	0
F08A8.3	0	0	0	0	0	0
F08A8.4	0	0	0	0	0	1.84
F08A8.5	0	0	0	0	0	0
F08A8.8	0	0	0	0	0	12.23
F08A8.9	0	0	0	0	0	0
F08B12.1	59.74	0	0	14.27	10.52	0
F08B12.10	0	0	0	0	0	0
F08B12.4	0.29	0.29	0	0.55	0	0
F08B12.6	0	0	0	0	0	0
F08B12.7	0	0	0	0	0	0
F08B12.8	0	0	0	0	0	0
F08B12.9	0	0	0	0	0	0
F08B4.3	0	5.27	0	0	0	0
F08B4.4	0	4.1	0	0	0	0.61
F08B4.7	240.96	299.47	194.38	149.85	222.92	66.67
F08B6.1	30.59	5.27	8.89	2.2	0	2.45
F08B6.3	45.6	137.29	0	39.52	45.72	16.52
F08B6.6	0	0	0	0	0	0
F08C6.10	0	0	0	0	0	0
F08C6.11	0	0	0	0	0	0
F08C6.12	0	0	0	0	0	0
F08C6.13	0	0	0	0	0	0
F08C6.14	0	0	0	0	0	0
F08C6.15	0	0	0	0	0	0
F08C6.16	0	0	0	0	0	0
F08C6.17	0	0	0	0	0	0
F08C6.2	155.25	166.27	150.72	132.28	36.01	96.03
F08C6.5	0	0	0	0	0	0
F08C6.8	0	0	0	0	0	0
F08C6.9	0	0	0	0	0	0
F08D12.1	25.11	2.93	95.07	90.57	77.27	62.39
F08D12.12	0	0	0	0	0	0
F08D12.2	0	0	0	0	0	0
F08D12.3	0	0	0	0	0	0
F08D12.4	0	0	0	0	0	0
F08D12.7	0	0	0	0	0	0
F08F1.11	0	0	0	0	0	0
F08F1.12	0	0	0	0	0	0
F08F1.13	0	0	0	0.55	0	0
F08F1.14	0	0	0	0	0	0
F08F1.15	0	0	0	0	0	0
F08F1.16	0	0	0	0	0	0
F08F1.17	0	0	0	0	0	0
F08F1.18	0	0	0	0	0	0
F08F1.19	0	0	0	0	0	0
F08F1.20	0	0	0	0	0	0
F08F1.3	0	0	0	0	0	0
F08F1.4	1.15	13.47	0	0	0	0.61
F08F1.9	0	0	0	0	0	0
F08F1.t1	0	0	0	0	0	0
F08F1.t2	0	0	0	0	0	0
F08F1.t3	0	0	0	0	0	0
F08F3.1	0	0	0	0	0	0
F08F3.10	0	0	0	0	0	0
F08F3.12	0	0	0	0	0	0
F08F3.13	0	0	0	0	0	0
F08F3.14	0	0	0	0	0	0
F08F3.15	0	0	0	0	0	0
F08F3.16	0	0	0	0	0	0
F08F3.4	0	0	0	0	0	0
F08F3.6	327.53	449.93	531.37	490.71	435.72	636.75
F08F3.8	0	0	0	0	0	0
F08F3.9	0	4.98	11.59	23.05	0	5.51
F08F8.10	84.55	53.28	114	48.85	176.39	212.25
F08F8.2	174.59	161	86.18	311.77	326.08	195.74
F08F8.4	273.86	263.75	224.53	226.14	271.06	224.48
F08F8.6	6.06	10.25	6.96	2.74	5.26	2.45
F08F8.7	93.79	148.42	52.17	27.44	116.11	37.92
F08F8.9	128.42	125.88	374.47	220.11	85.36	396.98
F08G12.1	5.19	1.17	0	29.64	0	7.95
F08G12.11	0	0	0	0	0	0
F08G12.2	265.2	328.16	321.53	264.02	318.39	300.33
F08G12.3	99.56	138.46	40.58	49.95	33.98	114.38
F08G12.5	51.08	13.17	0	27.44	0	19.57
F08G12.8	0	0	0	0	0	0
F08G2.10	0	0	0	0	0	0
F08G2.11	0	0	0	0	0	0
F08G2.12	0	0	0	0	0	0
F08G2.13	0	0	0	0	0	0
F08G2.14	0	0	0	0	0	0
F08G2.15	0	0	0	0	0	0
F08G2.16	0	0	0	0	0	0
F08G2.17	0	0	0	0	0	0
F08G2.4	19.91	23.42	11.59	3.29	4.05	11.01
F08G2.5	0	0	0	0	0	0
F08G2.7	8.66	20.49	8.89	58.73	8.9	2.45
F08G2.8	0	0	0	0	0	0
F08G2.9	0	0	0	0	0	0
F08G5.1	178.63	214.28	283.27	200.35	194.6	236.11
F08G5.10	0	0	0	0	0	0
F08G5.11	0	0	0	0	0	0
F08G5.12	0	0	0	0	0	0
F08G5.13	0	0	0	0	0	0
F08G5.14	0	0	0	0	0	0
F08G5.15	0	0	0	0	0	0
F08G5.16	0	0	0	0	0	0
F08G5.17	0	0	0	0	0	0
F08G5.18	0	0	0	0	0	0
F08G5.19	0	0	0	0	0	0
F08G5.20	0	0	0	0	0	0
F08G5.21	0	0	0	0	0	0
F08G5.3	0	0	0	0	0	0
F08G5.6	0	0	0	0	0	0
F08G5.9	0	0	0	0	0	0
F08G5.t1	0	0	0	0	0	0
F08G5.t2	0	0	0	0	0	0
F08G5.t3	0	0	0	0	0	0
F08H9.10	0	0	0	0	0	0
F08H9.11	0	0	0	0	0	0
F08H9.13	0	0	0	0	0	0
F08H9.14	0	0	0	0	0	0
F08H9.2	0	0	0	0	0	0
F08H9.3	0	0	0	0	0	0
F08H9.4	0	0	0	0	0	0
F09A5.1	0	0	0	0	0	0
F09A5.10	0	0	0	0	0	0
F09A5.11	0	0	0	0	0	0
F09A5.12	0	0	0	0	0	0
F09A5.13	0	0	0	0	0	0
F09A5.2	0	0	0	0	0	0
F09A5.3	0	0	0	0	0	0
F09A5.4	101	169.2	42.12	19.76	197.02	68.51
F09B12.3	0	0	0	0	0	0
F09B12.5	0	0	0	0	0	0
F09B12.7	0	0	0	0	0	0
F09B12.8	0	0	0	0	0	0
F09B9.4	1.73	0	0	0	0	0
F09B9.5	10.39	6.15	3.86	2.2	2.43	0
F09B9.6	0	0	0	0	0	0
F09B9.7	0	0	0	0	0	0
F09B9.t1	0	0	0	0	0	0
F09B9.t2	0	0	0	0	0	0
F09C11.1	0	0	0	0	0	0
F09C11.2	0	0	0	0	0	0
F09C12.11	0	0	0	0	0	0
F09C12.12	0	0	0	0	0	0
F09C12.13	0	0	0	0	0	0
F09C12.14	0	0	0	0	0	0
F09C12.2	0	0	0	0	0	0
F09C12.6	0	0	0	0	0	0
F09C12.8	0	0	0	0	0	0
F09C3.2	0	0	0	0	0	0
F09C3.7	0	0	0	0	0	0
F09C3.8	0	0	0	0	0	0
F09C3.9	0	0	0	0	0	0
F09C6.1	0	0	0	0	0	0
F09C6.10	0	0	0	0	0	0
F09C6.11	0	0	0	0	0	0
F09C6.12	0	0	0	0	0	0
F09C6.13	0	0	0	0	0	0
F09C6.14	0	0	0	0	0	0
F09C6.15	0	0	0	0	0	0
F09C6.16	0	0	0	0	0	0
F09C6.3	0	0	0	0	0	0
F09C8.1	0	0	0	0	0	0
F09C8.2	19.62	45.96	62.22	0	54.21	17.74
F09C8.3	0	0	0	0	0	0
F09C8.4	0	0	0	0	0	0
F09C8.5	0	0	0	0	0	0
F09C8.6	0	0	0	0	0	0
F09D1.1	181.23	139.34	216.41	240.42	189.74	165.15
F09D12.2	0	0	0	0	0	0
F09D5.1	0	0	0	0	0	0
F09D5.10	0	0	0	0	0	0
F09D5.2	0	0	0	0	0	0
F09D5.3	0	0	0	0	0	0
F09D5.4	0	0	0	0	0	0
F09D5.5	0	0	0	0	0	0
F09D5.6	0	0	0	0	0	0
F09D5.7	0	0	0	0	0	0
F09D5.8	0	0	0	0	0	0
F09D5.9	0	0	0	0	0	0
F09E10.1	0	0	0	0	0	0
F09E10.10	0	0	0	0	0	0
F09E10.5	0	0	0	0	0	0
F09E10.6	0	0	0	0	0	0
F09E10.7	0	0	0	0	0	0
F09E5.10	0	0	0.77	0	0	0
F09E5.11	213.84	194.08	29.76	54.34	138.36	53.83
F09E5.12	0	29.27	0	0	0	0
F09E5.14	0	0	0	0	0	0
F09E5.16	0	6.15	0	0	0	0
F09E5.18	0	0	0	0	0	0
F09E5.19	0	0	0	0	0	0
F09E5.2	237.79	271.07	268.97	192.66	110.45	130.9
F09E5.20	0	0	0	0	0	0
F09E5.21	0	0	0	0	0	0
F09E5.22	0	0	0	0	0	0
F09E5.23	0	0	0	0	0	0
F09E5.3	95.81	201.11	0	40.62	63.52	59.33
F09E5.7	94.36	82.26	85.41	94.96	192.17	123.56
F09E5.8	50.79	31.62	35.94	38.97	45.72	10.4
F09E5.9	0	0	0	0	0	0
F09E8.1	0	0	0	0	0	0
F09E8.11	0	0	0	0	0	0
F09E8.2	85.71	200.52	178.93	164.12	188.53	155.37
F09E8.8	0	0	0	0	0	0
F09F3.14	0	0	0	0	0	0
F09F3.15	0	0	0	0	0	0
F09F3.16	0	0	0	0	0	0
F09F3.17	0	0	0	0	0	0
F09F3.18	0	0	0	0	0	0
F09F3.5	0	0	0	0	0	0
F09F3.8	0	0	0	0	0	0
F09F7.1	0	0	0	0	0	0
F09F7.3	294.93	350.4	405	397.4	263.78	733.4
F09F7.4	155.54	105.97	143.76	57.08	0	66.06
F09F7.5	0	0	0	0	0	0
F09F7.6	0	0	0	0.55	0	0
F09F7.7	2.31	42.45	0	3.29	0	0.61
F09F9.1	0	0	0	0	0	0
F09F9.10	0	0	0	0	0	0
F09F9.11	0	0	0	0	0	0
F09F9.12	0	0	0	0	0	0
F09F9.13	0	0	0	0	0	0
F09F9.14	0	0	0	0	0	0
F09F9.15	0	0	0	0	0	0
F09F9.16	0	0	0	0	0	0
F09F9.2	0	0	0	0	0	0
F09F9.3	0	0	0	0	0	0
F09F9.4	0	0	0	0	0	0
F09F9.5	0	0	0	0	0	0
F09F9.7	0	0	0	0	0	0
F09F9.8	0	0	0	0	0	0
F09F9.9	0	0	0	0	0	0
F09G2.1	0	75.23	0	12.62	2.43	8.56
F09G2.10	0	0	0	0	0	0
F09G2.11	0	0	0	0	0	0
F09G2.12	0	0	0	0	0	0
F09G2.13	0	0	0	0	0	0
F09G2.2	210.37	203.16	321.53	223.4	257.71	182.89
F09G2.3	11.83	13.47	6.18	25.8	10.52	3.06
F09G2.8	267.22	219.84	119.03	302.99	106.4	148.03
F09G2.9	588.12	739.45	517.46	316.16	355.61	317.46
F09G8.10	0	0	0	0	0	0
F09G8.11	0	0	0	0	0	0
F09G8.12	0	0	0	0	0	0
F09G8.13	0	0	0	0	0	0
F09G8.3	68.1	33.96	48.69	30.19	4.45	55.66
F09G8.5	0	0	0	0	0	0
F09G8.7	3.46	7.9	8.5	2.2	2.83	5.51
F10A3.1	0	0	0	0	0	0
F10A3.10	0	0	0	0	0	0
F10A3.11	0	0	0	0	0	0
F10A3.12	0	0	0	0	0	0
F10A3.16	0	0	0	0	0	0
F10A3.17	41.56	22.25	0	10.98	0	4.28
F10A3.4	0	0	0	0	0	0
F10A3.7	0	0	0	0	0	0
F10B5.2	63.78	101.29	42.51	105.39	70.39	21.41
F10B5.3	0	0	0	0	0	0
F10B5.8	64.06	187.35	496.2	271.15	187.31	442.85
F10B5.9	0	0	0	0	0	0
F10C1.1	0	0	0	0	0	0
F10C1.11	0	0	0	0	0	0
F10C1.12	0	0	0	0	0	0
F10C1.13	0	0	0	0	0	0
F10C1.14	0	0	0	0	0	0
F10C1.15	0	0	0	0	0	0
F10C1.16	0	0	0	0	0	0
F10C1.17	0	0	0	0	0	0
F10C1.18	0	0	0	0	0	0
F10C1.19	0	0	0	0	0	0
F10C1.20	0	0	0	0	0	0
F10C1.3	0	0	0	0	0	0
F10C1.8	0	0	0	0	0	0
F10C1.9	0	0	0	0	0	0
F10C1.t1	0	0	0	0	0	0
F10C1.t2	0	0	0	0	0	0
F10C2.10	0	0	0	0	0	0
F10C2.11	0	0	0	0	0	0
F10C2.12	0	0	0	0	0	0
F10C2.3	0	0	0	0	0	0
F10C2.4	185.84	124.12	342.01	229.44	321.22	179.83
F10C2.5	168.53	65.28	50.24	126.25	97.1	17.74
F10C2.7	0	0	0	0	0	0
F10C2.9	0	0	0	0	0	0
F10C5.2	182.96	176.81	155.74	307.38	95.07	138.85
F10D11.2	415.26	381.73	802.66	474.24	468.08	518.09
F10D11.3	0	0	0	0	0	0
F10D11.4	0	0	0	0	0	0
F10D11.5	0	0	0	0	0	0
F10D11.6	88.3	0.29	0	0	0	0
F10D11.7	0	0	0	0	0	0
F10D11.8	0	0	0	0	0	0
F10D2.10	8.95	40.98	0	0	0	0
F10D2.12	0	0	0	0	0	0
F10D2.13	0	0	0	0	0	0
F10D2.15	0	0	0	0	0	0
F10D2.8	0	0	0	0	0	0
F10D7.1	0	0	0	0	0	0
F10D7.2	42.71	65.28	15.84	90.57	0	7.95
F10D7.3	0	0	0	0	0	11.01
F10D7.4	0	0	0	0	0	0
F10D7.5	174.88	152.22	85.02	177.29	0	72.79
F10D7.6	0	0	0	0	0	0
F10D7.7	0	0	0	0	0	0
F10D7.8	0	0	0	0	0	0
F10D7.9	0	0	0	0	0	0
F10E7.1	0	0	0	0	0	0
F10E7.11	0	0	0	0	5.26	2.45
F10E7.12	0	0	0	0	0	0
F10E7.2	33.76	28.98	42.12	0	59.07	4.89
F10E7.3	0	0	0	0	0	0
F10E7.5	334.75	309.42	168.88	122.4	352.78	141.3
F10E7.6	88.88	92.21	96.61	45.01	106.4	20.19
F10E7.9	0	0	0	0	0	0
F10E9.1	0	0	0	0	0	0
F10E9.10	15.87	0	0	0	0	0
F10E9.11	36.65	59.13	52.94	10.98	54.62	7.95
F10E9.12	0	0	0	0	0	0
