	logFC	logCPM	PValue
C30C11.1	-1.1	4.26	0.572
C30C11.4	0.714	8.87	0.131
C30F12.2	-0.496	7.24	0.608
C30F12.4	-0.124	9.79	0.83
C30F12.5	-4.13	3.65	0.0502
C30G12.6	1.6	8.08	0.0101
C30H6.7	0.137	6.89	0.894
C30H6.8	-0.684	4.6	0.716
C30H6.9	-1.14	5.41	0.451
C30H7.2	-0.147	7.28	0.86
C31C9.2	-1.16	5.81	0.407
C31E10.5	0.957	7.27	0.26
C31E10.6	2.73	6.03	0.0797
C31G12.1	2.16	5.75	0.133
C31H1.8	0.93	8.9	0.0486
C31H5.4	0.506	4.76	0.789
C31H5.5	4.33	3.74	0.0691
C32A3.2	0.474	3.96	0.833
C32A3.3	0.245	8.53	0.624
C32D5.10	0.788	7.33	0.404
C32D5.11	0.131	8.17	0.837
C32D5.3	0.968	8.13	0.183
C32D5.7	1.52	4.84	0.477
C32D5.8	1.16	4.63	0.496
C32E12.4	-2.37	3.21	0.292
C32E8.11	0.394	7.93	0.545
C32E8.3	-0.195	6.64	0.868
C32E8.5	0.082	8.2	0.892
C32E8.9	-1.7	3.93	0.358
C32F10.8	0.973	6.94	0.45
C33A11.1	-3.25	3.68	0.104
C33A11.2	-0.897	5.29	0.562
C33A12.1	0.317	6.15	0.808
C33A12.12	5.07	4.38	0.036
C33A12.3	0.0702	7.04	0.952
C33A12.7	-0.633	6.54	0.63
C33B4.4	-0.417	3.52	0.839
C33C12.10	1.49	4.68	0.411
C33C12.9	1.47	2.9	0.527
C33D12.2	-3.78	3.37	0.0996
C33D9.3	4.65	4.01	0.0528
C33D9.6	-4.35	3.83	0.064
C33F10.14	-0.259	6.25	0.833
C33F10.4	-0.415	7.09	0.645
C33G3.4	0.881	3.77	0.657
C33G3.6	0.46	4.79	0.79
C33H5.17	-0.648	6.95	0.497
C33H5.18	-0.47	7.89	0.515
C33H5.8	0.0417	6.97	0.971
C34B2.10	0.4	5.61	0.788
C34B2.5	0.929	6.27	0.464
C34B2.6	-1.28	7.28	0.126
C34B2.8	0.27	7.41	0.746
C34B4.2	1.04	6.4	0.417
C34B7.1	-0.123	2.92	1
C34B7.2	-0.43	8.1	0.451
C34C12.2	-0.504	7.91	0.505
C34C12.4	-0.611	5.93	0.667
C34C12.5	1	5.68	0.487
C34C12.8	0.441	6.67	0.687
C34C6.4	-3.86	5.46	0.0294
C34D10.1	0.0228	6	0.993
C34D4.10	-4.01	3.55	0.0557
C34D4.13	0.224	6.3	0.868
C34D4.4	0.274	8.17	0.651
C34E10.10	0.821	5.14	0.607
C34E10.11	-1.4	6.69	0.237
C34E10.8	0.35	8.36	0.5
C34F11.3	-0.906	6.53	0.566
C34F6.10	3.34	5.79	0.0898
C34F6.9	0.344	3.15	0.91
C34G6.1	2.32	7.72	0.0605
C34G6.5	-0.353	7.41	0.672
C35A5.8	-0.471	8.72	0.644
C35B1.2	1.73	6.34	0.259
C35B8.3	-0.464	5.36	0.783
C35C5.3	-1.44	5.69	0.322
C35C5.6	1.13	7.21	0.198
C35D10.1	0.175	7.79	0.796
C35D10.10	0.358	7.48	0.638
C35D10.13	0.285	6.76	0.786
C35D10.17	-0.521	3.05	0.796
C35D10.5	-0.414	6.62	0.704
C35D10.6	0.957	5.93	0.47
C35D10.7	-0.217	7.21	0.824
C35E7.5	-0.511	6.29	0.793
C35E7.8	-0.313	6.74	0.766
C36A4.4	0.308	7.48	0.678
C36A4.5	-2.34	4.73	0.177
C36B1.11	0.87	8.96	0.0826
C36B1.14	0.659	6.06	0.641
C36B1.9	-2.66	2.6	0.247
C36B7.6	0.329	6.77	0.757
C36C9.1	0.139	7.87	0.833
C36E6.1	2.12	6.86	0.083
C36E6.2	0.839	5.14	0.604
C36E8.1	0.704	8.1	0.215
C36F7.2	0.593	6.61	0.601
C37A2.7	-0.72	3.67	0.687
C37A2.8	-0.0936	8.76	0.856
C37A5.7	-1.08	4.9	0.561
C37C3.1	1.36	6.39	0.239
C37C3.2	0.266	7.5	0.738
C37C3.9	-0.507	9.47	0.297
C37E2.1	0.0587	5.85	0.971
C37H5.13	-0.795	6.5	0.524
C37H5.2	-0.345	5.47	0.852
C37H5.3	-1.11	7.21	0.378
C37H5.5	-0.624	7.56	0.38
C37H5.6	0.0635	7.54	0.937
C38C10.2	-0.74	8.5	0.168
C38D4.1	-1.02	4.44	0.587
C38D4.4	0.261	8	0.705
C38D4.9	0.178	3.61	0.94
C39B5.2	-1.18	4.09	0.56
C39B5.6	-2.21	4.35	0.217
C39E9.11	0.00692	8.66	0.991
C39E9.12	-0.326	7.14	0.718
C40H1.6	-0.152	4.12	0.938
C41C4.1	-4.44	3.9	0.059
C41D11.3	0.41	8.24	0.502
C41D11.5	-0.188	7.59	0.792
C41D11.9	-0.438	6.45	0.707
C41G7.3	0.786	8.3	0.148
C41G7.9	0.383	7.01	0.696
C41H7.3	-0.974	6.42	0.403
C41H7.4	-0.792	4.66	0.662
C41H7.5	1.87	2.78	0.376
C41H7.6	-1.31	6	0.32
C42C1.10	0.443	7.41	0.572
C42C1.11	0.721	7.95	0.319
C42C1.12	2.26	3.94	0.213
C42C1.13	-0.503	7.04	0.587
C42C1.4	0.444	7.04	0.621
C42C1.8	-0.487	8.16	0.39
C43E11.12	0.202	6.33	0.871
C43E11.9	1.55	5.01	0.338
C43H6.3	-0.372	5.74	0.797
C43H6.4	-4.28	3.76	0.0694
C43H6.7	-1.13	7.21	0.233
C43H8.1	1.79	2.97	0.376
C43H8.2	-1.27	5.61	0.454
C44B7.1	0.32	5.16	0.869
C44B7.10	0.284	8.29	0.604
C44B7.11	0.291	6.2	0.874
C44B7.12	-0.465	7.82	0.55
C44B7.2	-0.694	6.19	0.665
C44B9.3	-2.11	5.64	0.186
C44C1.2	1.56	5.94	0.292
C44C10.4	0.244	6.41	0.85
C44E4.1	-0.776	7.68	0.427
C44E4.3	0.291	8.28	0.608
C44E4.4	0.146	8.19	0.819
C44E4.5	-0.595	7.51	0.431
C44H4.4	-0.417	5.76	0.784
C45B2.6	-1.86	5.71	0.207
C45E1.5	3.97	3.45	0.0933
C45G3.5	0.901	7.83	0.188
C45G7.4	0.0958	5.13	0.966
C45G9.2	-0.0758	7.99	0.904
C45G9.5	1.83	7.21	0.0459
C45G9.7	-0.177	4.79	0.93
C45H4.14	0.187	6.03	0.892
C46A5.5	0.746	6.53	0.528
C46A5.6	0.976	5.91	0.48
C46C11.1	-1.44	6.83	0.182
C46C11.2	3.71	3.25	0.109
C46C2.2	-1.77	5.62	0.345
C46C2.7	-0.0297	4.86	1
C46F11.3	-0.1	6.63	0.929
C46F11.4	0.00515	7.41	1
C46F11.5	0.456	7.21	0.589
C46F11.6	-0.195	3.77	0.948
C46H11.2	2.06	3.18	0.312
C46H3.2	-1.21	6.1	0.386
C47A4.1	0.651	4.28	0.712
C47B2.2	0.233	7.53	0.75
C47B2.9	0.408	3.22	0.875
C47D12.2	0.319	9.05	0.545
C47D12.8	-1.23	7.63	0.214
C47E12.2	0.204	8.48	0.688
C47E12.3	1.23	7.86	0.065
C47E12.7	0.217	6.46	0.858
C47E8.4	0.0844	7.41	0.916
C47F8.1	0.289	5.95	0.851
C47G2.3	0.453	6.22	0.721
C47G2.4	0.119	8.25	0.839
C48A7.2	0.338	9.06	0.552
C48B4.10	0.551	4.23	0.751
C48B4.11	0.478	8.19	0.418
C48B4.6	-0.131	4.59	0.954
C48B4.7	0.0116	5.95	1
C48B4.8	-0.0998	5.25	0.959
C48B4.9	0.739	6.49	0.522
C48B6.10	0.119	5.29	0.951
C48B6.2	1.46	5.42	0.34
C48B6.3	-1.29	6.16	0.36
C48B6.9	0.986	5.44	0.513
C48D1.5	0.398	3.14	0.872
C48E7.11	0.491	6.37	0.689
C48E7.2	0.35	7.78	0.592
C49A9.10	-0.419	4.74	0.816
C49C3.15	3.52	3.11	0.13
C49C3.5	3.61	3.67	0.109
C49C3.6	0.514	7.24	0.536
C49C3.7	-0.225	6.77	0.828
C49C3.8	-0.108	7.76	0.893
C49C8.3	-0.795	3.2	0.757
C49F5.3	-0.0751	5.99	0.957
C49F5.6	-0.519	7.9	0.435
C49H3.3	0.111	7.07	0.911
C49H3.4	0.864	5.77	0.534
C49H3.6	0.686	3.7	0.767
C49H3.9	-0.335	7.49	0.648
C50A2.2	-0.246	4.41	0.893
C50B6.3	-0.271	8.25	0.621
C50B8.1	0.391	7.11	0.659
C50B8.3	0.68	6.47	0.58
C50C3.1	0.736	8.2	0.2
C50D2.5	0.423	6.46	0.728
C50D2.7	-0.15	6.11	0.926
C50D2.9	-0.356	5.88	0.801
C50E3.11	-0.688	3.7	0.749
C50E3.12	-0.991	7.03	0.294
C50E3.13	-0.378	7.5	0.623
C50E3.5	-0.435	7.36	0.63
C50F2.2	-1.18	7.13	0.203
C50F2.3	-0.568	7.09	0.527
C50F4.12	3.02	7.14	0.0171
C50F4.14	0.594	7.77	0.375
C50F4.16	0.354	7.97	0.595
C50F4.4	3.59	3.99	0.0743
C50F4.6	-0.518	5.83	0.714
C50F7.4	-0.694	7.18	0.47
C50F7.6	-0.908	3.72	0.683
C52A10.3	-2.8	5.3	0.12
C52B9.4	0.376	7.17	0.71
C52B9.8	-3.18	6.3	0.0146
C52D10.12	1.16	6.18	0.519
C52E12.1	-0.12	8.3	0.826
C52E12.4	0.619	7.3	0.455
C52E4.5	-2.93	4.23	0.185
C53A5.16	-1.06	4.69	0.588
C53A5.17	1.51	6.87	0.136
C53A5.2	-2.29	3	0.291
C53A5.5	-3.45	3.56	0.122
C53A5.6	1.4	5.48	0.419
C53B4.4	-0.48	8.36	0.375
C53B4.6	1.12	4.58	0.6
C53D5.1	0.579	6.98	0.592
C53D5.2	-2.5	2.51	0.268
C53D5.5	-2.71	2.63	0.23
C53D6.4	-0.578	7.07	0.532
C53D6.6	1.16	6.93	0.307
C53H9.2	0.235	3.89	0.929
C53H9.3	0.743	3.13	0.726
C54C6.6	-0.197	6.29	0.877
C54G4.7	0.171	7.05	0.855
C54G4.9	0.877	6.56	0.452
C54G6.1	-0.0801	6.47	0.949
C55A6.1	0.272	8.2	0.658
C55A6.10	-0.101	6.26	0.946
C55A6.9	0.254	9.22	0.588
C55B6.1	-0.48	7.56	0.523
C55B7.11	0.13	8.27	0.842
C55C3.5	-1.1	8.16	0.0744
C56A3.4	-0.052	8.93	0.921
C56A3.5	0.234	7.51	0.766
C56A3.6	0.183	5.58	0.926
C56A3.8	1.13	5.49	0.526
C56C10.10	0.981	3.24	0.64
C56C10.11	-0.368	7.32	0.651
C56C10.7	0.194	7.41	0.806
C56C10.9	-0.971	6.3	0.428
C56E6.2	-1.29	6.32	0.282
C56E6.9	2.16	5.62	0.202
C56G2.1	0.422	7.93	0.496
C56G2.15	-0.651	7.05	0.484
C56G2.5	1.63	6.98	0.229
C56G2.7	0.445	8.28	0.413
C56G7.3	-0.633	5.08	0.707
cacn-1	0.429	6.83	0.715
cah-1	-3.66	3.56	0.119
cal-5	-0.721	5.96	0.583
calu-1	1.03	7.34	0.249
cam-1	0.573	8.31	0.287
cand-1	0.812	6.27	0.512
cap-1	-0.264	8.13	0.643
cap-2	0.199	8.21	0.72
capg-1	-0.196	7.86	0.774
capg-2	-0.193	9.13	0.696
car-1	0.362	9.75	0.424
cars-1	0.477	8.47	0.345
cas-1	0.287	6.92	0.772
cas-2	0.155	7.69	0.823
cash-1	0.772	7.25	0.352
casy-1	-0.674	5.17	0.736
catp-6	0.658	8.09	0.357
cav-1	-0.132	6.71	0.911
cbd-1	0.515	10.6	0.315
cblc-1	0.462	7.55	0.566
cbp-1	-0.359	6.31	0.777
CC8.2	1.04	5.41	0.546
ccch-3	0.825	6.46	0.508
ccch-5	-1.25	3.83	0.534
ccdc-47	-0.3	8.52	0.547
ccdc-55	-0.963	7.38	0.225
ccf-1	-0.0267	8.25	0.965
cchl-1	0.351	8.49	0.482
cco-1	-0.642	6.42	0.584
cco-2	0.0897	7.32	0.919
ccpp-1	0.212	8.37	0.688
ccr-4	0.394	6.31	0.74
cct-1	0.0911	9.06	0.853
cct-2	0.206	8.94	0.669
cct-3	0.119	4.65	0.955
cct-4	0.192	8.84	0.701
cct-5	0.129	9.1	0.784
cct-6	0.909	8.52	0.0749
cct-7	0.599	8.17	0.284
cct-8	-0.0348	4.92	0.989
ccz-1	0.317	8.02	0.615
CD4.3	0.648	5.36	0.67
CD4.7	0.389	7.2	0.661
CD4.8	-0.451	5.42	0.799
cdc-14	0.469	9.04	0.319
cdc-25.1	0.26	9.01	0.583
cdc-25.2	-0.157	6.33	0.901
cdc-25.3	-0.343	7.2	0.692
cdc-26	-0.391	4.48	0.844
cdc-37	0.175	7.84	0.792
cdc-42	-0.0497	7.84	0.944
cdc-48.1	0.441	9.87	0.352
cdc-48.2	0.348	8.9	0.462
cdc-48.3	0.00401	7.03	1
cdc-6	0.502	8.06	0.402
cdd-2	0.387	6.47	0.747
cdf-1	-0.412	6.24	0.81
cdh-3	-1.69	5.54	0.41
cdh-4	-0.273	8.51	0.607
cdh-5	4.18	3.62	0.077
cdk-1	0.116	9.03	0.812
cdk-4	-0.0717	6.69	0.946
cdk-5	0.0839	8.04	0.893
cdk-7	0.54	7.55	0.482
cdk-8	0.0681	8.99	0.893
cdk-9	0.719	6.37	0.554
cdl-1	-0.0909	9.33	0.846
cdr-4	1.26	3.39	0.563
cdr-6	-1.67	4.1	0.373
cdr-7	-0.741	4.65	0.7
cdt-1	-0.803	6.36	0.507
cdt-2	0.287	5.93	0.849
cdtl-7	-0.385	7.09	0.678
cec-1	-1.64	5.41	0.274
ced-1	-1.34	5.72	0.383
ced-10	-2.22	3.89	0.24
ced-12	-1.42	7.98	0.0202
ced-2	0.282	7	0.776
ced-3	-0.662	6.93	0.625
ced-4	0.816	7.64	0.237
ced-5	-0.442	7.85	0.518
ced-6	-0.032	7.4	0.973
ced-7	-1.08	8.67	0.0363
ced-8	-2.1	6.03	0.118
ced-9	1.36	6.21	0.394
cee-1	-0.0652	7.78	0.925
ceh-100	-0.859	7.53	0.254
ceh-18	-3.19	2.94	0.159
ceh-21	1.39	6.76	0.275
ceh-38	0.485	9.23	0.307
ceh-39	0.218	6.85	0.835
ceh-40	-1.62	6	0.244
ceh-41	1.49	6.84	0.187
ceh-43	-4.83	4.23	0.0428
ceh-44	-0.267	8.03	0.652
ceh-49	-0.583	6.49	0.606
ceh-51	-2.55	2.54	0.269
ceh-91	0.249	6.14	0.846
cel-1	-1.34	8.44	0.0377
cep-1	0.432	7.93	0.484
ces-2	2.6	2.51	0.268
cey-1	0.381	7.87	0.608
cey-2	0.717	9.88	0.132
cey-3	0.503	9.75	0.325
cey-4	0.276	8.79	0.564
cfim-1	-0.57	7.12	0.542
cfim-2	-0.625	8.02	0.384
cgef-1	1.21	5.91	0.381
cgef-2	-0.47	3.97	0.835
cgh-1	0.496	9.94	0.451
cgp-1	-0.399	7.89	0.535
cgt-3	-0.054	8.98	0.912
chc-1	-0.197	9.28	0.692
chch-3	0.467	5.66	0.753
chd-3	1.28	6.05	0.449
che-14	5.57	4.82	0.0225
chin-1	-1.22	6.22	0.366
chk-1	0.213	7.47	0.796
chn-1	-0.0703	8.41	0.895
chp-1	0.505	6.96	0.585
chs-1	2.54	6.99	0.0586
cht-1	-3.85	4.16	0.0891
chtl-1	-1.26	8.64	0.0142
cic-1	-0.335	7.47	0.672
cid-1	-0.209	9.04	0.677
cids-1	0.0653	7.49	0.933
cids-2	-0.0839	9	0.861
cif-1	0.134	7.9	0.836
cir-1	-0.0963	8.27	0.86
cit-1.1	0.205	7.26	0.81
cit-1.2	-0.271	4.97	0.882
cka-1	-0.0353	7.19	0.974
ckb-2	0.109	6.2	0.938
ckb-4	0.0357	5.39	0.99
ckc-1	-2.55	2.54	0.269
cki-2	0.064	8.03	0.923
ckk-1	-3.91	4.16	0.089
cks-1	0.407	8.25	0.499
cku-70	-0.602	6.4	0.602
cku-80	0.251	6.98	0.799
clec-266	-0.749	5.27	0.694
clec-87	-0.746	10.6	0.163
clec-88	-0.505	10.4	0.333
clec-91	-0.693	9.7	0.193
clh-3	0.555	7.24	0.527
clh-5	0.696	8.01	0.249
clh-6	0.777	4.75	0.665
clic-1	0.367	7.6	0.611
clk-1	-2.19	5.68	0.165
clk-2	2.01	6.92	0.147
cln-3.2	-0.992	5.63	0.571
clp-1	-0.00961	7.78	0.994
clp-2	-0.282	7.54	0.74
clp-7	-0.777	7.77	0.238
clpf-1	0.484	5.53	0.742
clpp-1	1.11	5.31	0.478
clr-1	-0.251	8.59	0.667
cls-1	-0.497	5.88	0.757
cls-2	-0.696	5.48	0.641
cls-3	0.436	5.68	0.79
clu-1	1.08	7.87	0.167
cmd-1	-0.0464	7.9	0.946
cmk-1	-3.35	3.06	0.144
cnb-1	0.127	4.98	0.951
cnk-1	-2.86	3.97	0.117
cnp-3	-0.282	6.97	0.808
cnt-1	0.0855	5.19	0.961
cnt-2	-1.8	6.95	0.19
cnx-1	0.817	8.81	0.0886
coel-1	1.35	4.32	0.519
cogc-1	-2.96	3.46	0.137
cogc-2	-0.435	8.21	0.462
cogc-3	-0.555	7.34	0.69
cogc-4	-1.26	6.45	0.306
cogc-5	-0.086	8.07	0.9
cogc-6	-0.768	8.38	0.231
cogc-8	-1.32	7.77	0.104
coh-1	-2.17	5.89	0.148
coh-3	-0.538	7.14	0.662
coh-4	-0.662	6.42	0.658
col-38	-2.49	2.5	0.268
col-86	-0.213	3.23	0.956
com-1	0.399	7.18	0.648
coq-1	0.624	6.46	0.586
coq-2	-1.7	5.71	0.249
coq-4	-0.506	4.1	0.774
coq-5	0.198	6.99	0.852
coq-6	0.758	5.83	0.633
coq-8	0.222	7.72	0.747
cpar-1	3.3	4.04	0.0863
cpb-1	-0.019	7.17	0.994
cpb-3	0.351	9.5	0.446
cpf-1	0.062	8.27	0.909
cpg-1	0.107	10.6	0.825
cpg-2	0.5	9.62	0.304
cpg-3	0.297	6.81	0.85
cpg-4	0.766	8.83	0.181
cpg-8	-0.0549	6.99	0.958
cpi-2	-0.369	7.85	0.595
cpn-1	1.18	7.71	0.0917
cpna-1	3.37	5.47	0.0605
cpna-3	-0.102	8.62	0.837
cps-6	-3.01	2.82	0.18
cpsf-1	0.525	7.47	0.506
cpsf-2	0.145	7.43	0.851
cpsf-3	1.37	7.52	0.128
cpsf-4	0.213	8.01	0.721
cpt-1	-0.156	8.65	0.764
cpt-2	1.74	6.94	0.107
cpt-6	-0.595	5.99	0.666
cra-1	0.218	8.53	0.661
crh-1	2.44	3.39	0.227
cri-3	-0.328	7.33	0.691
crls-1	-0.378	6.57	0.738
crm-1	-2.04	2.67	0.341
crml-1	-0.41	8.66	0.494
crn-1	-0.441	7.92	0.48
crn-2	1.26	4.3	0.496
crn-3	-0.636	8.63	0.336
crn-4	1.12	7.08	0.242
crn-5	-1.67	4.48	0.366
crn-7	2.14	3.19	0.305
crp-1	2.86	2.67	0.213
crt-1	-0.037	9.59	0.937
csb-1	1.5	6.96	0.155
csc-1	0.427	6.77	0.69
csk-1	3.97	5.43	0.0344
csn-1	0.661	7.9	0.349
csn-2	-0.686	8.5	0.261
csn-3	-0.395	7.97	0.521
csn-4	-0.562	6.76	0.613
csn-5	1.29	7.77	0.0601
csn-6	-1.06	7.08	0.247
csnk-1	1.45	7.29	0.0799
csr-1	-1.46	7.26	0.256
cst-1	1.28	4.94	0.51
ctb-1	0.595	9.68	0.262
cTel55X.1	-0.0506	4.21	1
ctg-1	-0.608	6.17	0.686
ctg-2	-2.71	2.63	0.23
ctn-1	-3.2	4.74	0.0724
ctns-1	0.617	7.65	0.393
cts-1	-0.286	9.24	0.554
cua-1	-0.264	7.59	0.717
cuc-1	0.197	4.58	0.922
cul-1	0.543	7.61	0.441
cul-2	0.477	7.11	0.592
cul-3	1.15	5.58	0.513
cul-4	-0.457	7.85	0.642
cul-5	-0.287	7.16	0.74
cup-2	0.594	7.67	0.391
cup-5	-0.137	8.26	0.802
cutc-1	0.0546	8.05	0.929
cutl-10	-2.99	2.81	0.189
cutl-20	-2.4	3.83	0.23
cutl-3	-3.63	3.26	0.116
cutl-9	-2.49	2.5	0.268
cux-7	-0.044	7.76	0.955
cwn-2	0.352	3.2	0.92
cya-1	-1.63	7.3	0.0501
cyb-1	0.0504	9.62	0.914
cyb-2.1	0.00632	7.67	0.996
cyb-2.2	0.559	8.74	0.249
cyb-3	-0.157	10.2	0.747
cyc-1	-0.941	6.89	0.372
cyc-2.1	0.536	7.34	0.519
cyd-1	0.585	4.69	0.761
cye-1	-1.39	6.65	0.277
cyk-1	0.317	6.23	0.808
cyk-3	-2.52	6.33	0.0468
cyk-4	0.147	7.9	0.812
cyl-1	-1.31	7.28	0.139
cyld-1	0.0612	8.35	0.912
cyn-1	1.14	5.87	0.424
cyn-10	-0.585	5.12	0.717
cyn-11	-0.265	4.82	0.875
cyn-12	0.308	6.32	0.82
cyn-13	-0.0379	5.45	0.991
cyn-15	-0.479	7.66	0.483
cyn-16	-3	3.55	0.12
cyn-3	0.948	6.96	0.32
cyn-4	-0.696	7.2	0.409
cyn-5	0.465	7.37	0.581
cyn-6	-1.93	4.55	0.272
cyn-7	0.532	8.78	0.301
cyn-8	0.54	7.15	0.557
cyn-9	1.02	6.88	0.311
cyp-13B2	-1.41	4.93	0.462
cyp-31A2	4.16	5.57	0.0162
cyp-31A3	4.26	6.14	0.00509
cyp-31A5	2.78	4.97	0.2
cyp-44A1	1.7	6.36	0.268
cyy-1	-1.23	7.9	0.0504
czw-1	0.0999	8.85	0.845
D1005.1	0.872	7.87	0.171
D1007.10	-1.24	4.79	0.499
D1007.15	-0.826	4.6	0.66
D1007.19	4.47	4.05	0.05
D1007.4	-0.796	5.84	0.562
D1007.5	0.177	8.06	0.785
D1007.8	-0.438	6.05	0.735
D1014.2	0.79	6.18	0.523
D1014.4	0.708	6.68	0.517
D1022.4	-0.227	5.55	0.895
D1025.1	2.68	4.3	0.205
D1037.1	-0.304	6.86	0.806
D1043.1	-0.0155	7.87	0.989
D1044.6	0.406	8.65	0.46
D1046.2	-0.345	8.33	0.529
D1046.3	1.49	7.2	0.116
D1046.5	-0.543	3.39	0.83
D1054.1	-0.518	5.08	0.782
D1054.14	0.0749	7.76	0.913
D1054.3	-0.204	7.06	0.825
D1069.3	0.0931	4.84	0.978
D1069.4	3.05	3.03	0.15
D1081.6	0.295	6.91	0.776
D1081.7	0.225	9.56	0.624
D1081.8	-0.496	7.95	0.425
D1081.9	-0.32	4.45	0.885
D2005.3	1.06	6.17	0.435
D2005.4	-0.312	7.84	0.757
D2005.7	1.45	6.34	0.26
D2007.1	0.768	4.83	0.638
D2007.4	1.25	6.35	0.317
D2013.3	1.32	6.8	0.213
D2013.6	-0.939	6.11	0.49
D2023.4	-3.84	4.64	0.0505
D2023.5	1.35	6.12	0.33
D2023.6	0.411	8.83	0.39
D2024.5	0.625	6.97	0.525
D2030.1	-0.619	8.28	0.247
D2030.11	0.496	5.31	0.748
D2030.2	-0.3	7.92	0.627
D2030.3	0.739	8.09	0.192
D2030.4	-0.224	5.64	0.884
D2030.7	-0.176	9.13	0.713
D2030.8	0.545	7.7	0.466
D2045.2	0.474	5.75	0.74
D2045.7	3.19	3.81	0.142
D2045.9	-3.02	2.83	0.19
D2063.3	0.391	7.28	0.639
D2085.3	0.13	7.58	0.864
D2085.4	-0.133	7.62	0.852
D2085.5	0.277	7.67	0.707
D2085.6	0.177	8.05	0.765
D2092.4	1.33	4.64	0.492
D2092.5	-0.56	6.74	0.614
D2096.12	-1.02	7.22	0.279
D2096.7	0.684	6.18	0.604
D2096.8	0.28	8.91	0.551
dab-1	0.261	9.62	0.568
dad-1	-0.0341	8.06	0.97
daf-1	0.765	6.88	0.433
daf-14	0.653	3.87	0.777
daf-15	0.471	9.26	0.353
daf-16	0.888	8.12	0.118
daf-18	0.0845	9.74	0.854
daf-19	-0.128	7.19	0.887
daf-2	2.09	4.69	0.324
daf-21	0.245	9.91	0.593
daf-25	-0.343	6.22	0.801
daf-3	1.98	6.28	0.236
daf-4	-0.0241	6.91	0.985
daf-5	-0.403	5.51	0.822
dao-3	-1.02	6.08	0.474
dao-5	0.166	8.4	0.774
dap-3	0.489	4.88	0.765
dars-1	0.922	8.43	0.0942
dars-2	-0.752	7.41	0.334
daz-1	0.153	9.51	0.744
dbr-1	-0.627	7.26	0.513
DC2.3	0.481	6.42	0.681
DC2.8	2.27	5.11	0.276
dcaf-1	0.833	8.34	0.145
dcap-1	0.51	7.57	0.484
dcap-2	-0.528	7.53	0.55
dcn-1	0.246	8.08	0.679
dcp-66	-2.86	5.87	0.0602
dcr-1	-1.48	7.8	0.0832
dcs-1	-0.0229	6.62	0.989
dct-1	0.555	6.56	0.616
dct-6	2.64	3.3	0.219
ddb-1	0.103	8.69	0.835
ddl-1	1.6	5.33	0.313
ddl-3	2.06	6.1	0.203
ddp-1	-3.47	4.18	0.0825
ddx-19	-0.575	7.45	0.452
ddx-23	-0.506	8.14	0.389
dep-1	-1.75	4.54	0.402
deps-1	-0.0302	8.61	0.959
dgk-2	-2.59	4.24	0.219
dgk-4	-3.18	6.34	0.0133
dgn-1	3.57	5.32	0.0418
DH11.2	3.11	2.83	0.177
dhc-1	-0.379	7.93	0.582
dhfr-1	0.52	6.94	0.618
dhhc-1	1.36	5.37	0.405
dhhc-2	-2.49	2.5	0.268
dhod-1	-0.0939	7.24	0.914
dhs-1	-0.128	7.35	0.873
dhs-11	0.748	4.81	0.65
dhs-12	0.791	5.41	0.607
dhs-13	1.27	4.74	0.463
dhs-17	-4.78	4.19	0.041
dhs-19	-0.375	5.51	0.803
dhs-22	-0.0609	8.41	0.914
dhs-25	-1.93	5.55	0.272
dhs-27	0.323	5.9	0.832
dhs-30	-0.813	5.22	0.605
dhs-6	-0.316	6.86	0.75
dhs-8	3.62	3.19	0.119
dhs-9	2.57	4.48	0.176
dic-1	-0.221	7.02	0.821
die-1	-1.39	6.13	0.379
dif-1	-0.559	6.81	0.571
dig-1	-2.43	2.47	0.293
dim-1	-1.53	5.52	0.385
din-1	-0.0977	5.38	0.953
dis-3	-0.727	7.61	0.439
div-1	0.0546	7.25	0.953
djr-1.1	1.45	6.62	0.243
dkf-1	0.783	6.65	0.483
dkf-2	-0.843	6.07	0.594
dlc-1	0.193	8.16	0.743
dlg-1	0.592	6	0.658
dli-1	-0.107	7.81	0.881
dmd-6	-0.983	6.7	0.372
dmd-7	1.74	6.47	0.263
dna-2	-0.653	6.08	0.618
dnc-1	-0.453	7.87	0.477
dnc-2	0.231	7.46	0.763
dnc-3	-0.676	6.63	0.546
dnc-4	0.0137	5.12	1
dnc-5	0.294	4.2	0.904
dnc-6	-0.63	6.72	0.552
dnj-1	0.651	7.98	0.29
dnj-10	0.0865	7.38	0.918
dnj-11	0.0246	9.07	0.962
dnj-12	0.511	8.99	0.285
dnj-13	0.33	7.62	0.642
dnj-14	0.261	6.36	0.832
dnj-15	0.146	5.9	0.918
dnj-16	-0.485	8.04	0.421
dnj-17	-0.603	6.43	0.617
dnj-18	-1.34	5.4	0.395
dnj-19	-0.255	6.88	0.815
dnj-2	1.04	6.1	0.445
dnj-20	-1.74	4.14	0.338
dnj-22	-0.516	7.45	0.505
dnj-23	0.115	7.77	0.875
dnj-25	-0.177	6.58	0.877
dnj-26	0.433	5.67	0.785
dnj-27	0.681	6.9	0.502
dnj-28	-0.0498	6.47	0.978
dnj-29	-0.135	8.2	0.83
dnj-30	0.524	6.62	0.655
dnj-4	1.42	6.58	0.212
dnj-5	-0.0111	9.95	0.982
dnj-7	4.73	6.09	0.00317
dnj-8	0.161	8.97	0.732
dnj-9	1.07	7.6	0.16
dod-18	1.16	5.14	0.478
dog-1	0.664	7.3	0.59
