	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2	
C08F11.10	0	0	0	0	0	0	
C08F11.11	0	0	0	0	0	0	
C08F11.116	0	0	0	0	0	0	
C08F11.12	0	0	0	0	0	0	
C08F11.13	0	0	0	0	0	0	
C08F11.14	0	0	0	0	0	0	
C08F11.16	0	0	0	0	0	0	
C08F11.17	0	0	0	0	0	0	
C08F11.18	0	0	0	0	0	0	
C08F11.19	0	0	0	0	0	0	
C08F11.2	0	0	0	0	0	0	
C08F11.3	0	0	0	0	0	0	
C08F11.6	0	0	0	0	0	0	
C08F11.7	0	0	0	0	0	0	
C08F8.10	0	0	0	0	0	0	
C08F8.11	0	0	0	0	0	0	
C08F8.12	0	0	0	0	0	0	
C08F8.13	0	0	0	0	0	0	
C08F8.14	0	0	0	0	0	0	
C08F8.2	127.63	59.98	80.45	93.11	90.96	85.92	
C08F8.3	63.96	61.07	126.65	101.34	113.43	163.74	
C08F8.6	0	0	0	0	0	0	
C08F8.9	36.29	95.31	1.36	5.91	78.26	2.2	
C08G5.1	0	0	0	0	0	0	
C08G5.3	0	0	0	0	0	0	
C08G5.6	0	0	0	0	0	0	
C08G5.7	0	0	0	0	0	0	
C08G5.9	0	0	0	0	0	0	
C08G9.1	0	8.22	0	0	0	0	
C08G9.10	0	0	0	0	0	0	
C08G9.2	0	0	0	7.65	0	0	
C08G9.4	0	0	0	0	0	0	
C08G9.5	0	0	0	0	0	0	
C08G9.6	0	0	0	0	0	0	
C08G9.7	0	0	0	0	0	0	
C08G9.8	0	0	0	0	0	0	
C08G9.9	0	0	0	0	0	0	
C08H9.1	0	0	0	0	0	0	
C08H9.10	0	0	0	0	0	0	
C08H9.11	0	0	0	0	0	0	
C08H9.12	0	0	0	0	0	0	
C08H9.13	0	0	0	0	0	0	
C08H9.14	0	0	0	0	0	0	
C08H9.15	0	0	0	0	0	0	
C08H9.16	122.11	126.91	14.95	92.33	110.98	102.45	
C08H9.2	62.48	69.26	120.28	254.05	124.26	286.55	
C08H9.3	25.49	22.74	0	37.23	0	2.66	
C08H9.4	0	0	0	0	0	0	
C08H9.6	0	0	0	0	0	0	
C08H9.7	0	0	0	0	0	0	
C08H9.8	0	0	0	0	0	0	
C08H9.9	0	0	0	0	0	0	
C09B7.10	0	0	0	0	0	0	
C09B7.11	0	0	0	0	0	0	
C09B7.12	0	0	0	0	0	0	
C09B7.2	123.43	77.45	54.24	58.61	15.19	16.04	
C09B7.3	0	0	0	0	0	0	
C09B7.4	0	0	0	0	0	0	
C09B7.5	0	0	0	0	0	0	
C09B7.6	0	0	0	0	0	0	
C09B7.7	0	0	0	0	0	0	
C09B7.8	0	0	0	0	0	0	
C09B7.9	0	0	0	0	0	0	
C09B8.10	0	0	0	0	0	0	
C09B8.11	0	0	0	0	0	0	
C09B8.12	0	0	0	0	0	0	
C09B8.13	0	0	0	0	0	0	
C09B8.14	0	0	0	0	0	0	
C09B8.15	0	0	0	0	0	0	
C09B8.16	0	0	0	0	0	0	
C09B8.17	0	0	0	0	0	0	
C09B8.18	0	0	0	0	0	0	
C09B8.3	0	0	0	0	0	0	
C09B8.4	83.52	31.89	21.39	1.19	0	11.96	
C09B8.5	143.57	81.13	64.58	70.1	118.55	72.44	
C09B8.8	0	0	0	0	0	0	
C09B9.1	0	0	0	0	0	0	
C09B9.2	0	0	0	0	0	0	
C09B9.3	0	0	0	0	0	0	
C09B9.4	0	0	0	0	0	0	
C09B9.7	0	0	0	0	0	0	
C09B9.8	0	0	0	0	0	0	
C09B9.80	0	0	0	0	0	0	
C09B9.81	0	0	0	0	0	0	
C09B9.82	0	0	0	0	0	0	
C09B9.83	0	0	0	0	0	0	
C09B9.84	0	0	0	0	0	0	
C09B9.t1	0	0	0	0	0	0	
C09C7.2	0	0	0	0	0	0	
C09D1.4	0	0	0	0	0	0	
C09D1.5	0	0	0	0	0	0	
C09D4.1	0	0	0	6.96	0	0	
C09D4.2	1.21	3.05	0	8.3	0	26.45	
C09D4.3	0	0	0	0	0	0	
C09D4.4	99.06	90.39	42.07	93.05	35.54	121.99	
C09D4.6	0	0	0	0	0	0	
C09D4.8	0	0	0	0	0	0	
C09D8.10	0	0	0	0	0	0	
C09D8.11	0	0	0	0	0	0	
C09D8.12	0	0	0	0	0	0	
C09D8.13	0	0	0	0	0	0	
C09D8.14	0	0	0	0	0	0	
C09D8.15	0	0	0	0	0	0	
C09D8.2	0	0	0	0	0	0	
C09D8.3	0	0	0	0	0	0	
C09D8.4	0	0	0	0	0	0	
C09D8.5	0	0	0	0	0	0	
C09D8.6	0	0	0	0	0	0	
C09D8.7	0	0	0	0	0	0	
C09D8.8	0	0	0	0	0	0	
C09D8.9	0	0	0	0	0	0	
C09E7.10	0	0	0	0	0	0	
C09E7.4	30.01	35	26.88	38.9	49.11	27.2	
C09E7.5	0	0	0	0	0	0	
C09E7.6	18.59	0.49	10.56	0	0	0	
C09E7.7	30.77	15.6	0.45	1.31	0.47	4.02	
C09E7.8	8.21	11.7	5.38	10.01	0	10.1	
C09E8.1	14.4	2.5	52.43	0.61	1.61	0	
C09E9.1	55.91	114.22	50.88	17.78	96.06	29.28	
C09F12.2	0	0	0	0	0	0	
C09F12.3	0	0	0	0	0	0	
C09F12.6	0	0	0	0	0	0	
C09F5.1	53.33	33.48	56.87	61.53	0.19	23.19	
C09F5.3	0	0	0	0	0	0	
C09F9.1	0	0	0	0	0	0	
C09F9.2	0	0	0	0	0	0	
C09F9.4	0	0	0	0	0	0	
C09F9.7	0	0	0	0	0	0	
C09F9.8	0	0	0	0	0	0	
C09G1.2	0	0	0	0	0	0	
C09G1.3	0	0	0	0	0	0	
C09G1.4	0.13	17.33	0	5.44	0	0.29	
C09G1.5	9.35	0	0	0	0	5.56	
C09G1.6	0	0	0	0	0	0	
C09G12.17	0	0	0	0	0	0	
C09G12.18	0	0	0	0	0	0	
C09G12.19	0	0	0	0	0	0	
C09G12.5	0	0	0	0	0	0	
C09G12.t1	0	0	0	0	0	0	
C09G4.2	11.46	115.32	0	0	0	24.23	
C09G4.4	453.61	582.78	415.1	243.41	297.99	332.81	
C09G5.10	0	0	0	0	0	0	
C09G5.11	0	0	0	0	0	0	
C09G5.12	0	0	0	0	0	0	
C09G5.7	0	0	0	0	2.02	0	
C09G5.8	0	0	0	0	0	0	
C09G9.1	74.83	63.94	108.77	96.49	69.14	101.07	
C09G9.2	187.41	210.73	286.72	183.01	225.82	172.45	
C09G9.3	0	0	0	0	0	0	
C09G9.5	0	0.68	0	0	0	0	
C09G9.8	0	0	0	0	0	0	
C09G9.9	0	0	0	0	0	0	
C09H10.10	17.35	8.06	22.52	35.63	71.61	29.58	
C09H10.11	0	0	0	0	0	0	
C09H10.12	0	0	0	0	0	0	
C09H10.13	0	0	0	0	0	0	
C09H10.14	0	0	0	0	0	0	
C09H10.15	0	0	0	0	0	0	
C09H10.16	0	0	0	0	0	0	
C09H10.17	0	0	0	0	0	0	
C09H10.18	0	0	0	0	0	0	
C09H10.5	22.08	0	0	0	0	0	
C09H10.7	0	0	0	0	0	0.57	
C09H10.9	0	0	0	0	0	0	
C09H5.1	0	0	0	0	0	0	
C09H5.7	0	0	0	0	0	0	
C10A4.1	0.14	19.35	0	0	0	0	
C10A4.10	0	0	0	0	0	0	
C10A4.11	0	0	0	0	0	0	
C10A4.12	0	0	0	0	0	0	
C10A4.2	0	0	0	0	0	0	
C10A4.3	0	0	0	0	0	0	
C10A4.4	0	0	0	0	0	0	
C10A4.5	1.11	3.36	0	0.27	0	0	
C10A4.6	0	0	0	0	0	0	
C10A4.7	0	0	0	0	0	0	
C10A4.9	0	0	0	0	0	0	
C10B5.1	49.06	16.36	0	5.21	0	19.76	
C10B5.3	0	0	0	0	0	0	
C10B5.4	0	0	0	0	0	0	
C10C5.1	59.35	55.81	37.2	37.85	3.91	15.69	
C10C5.10	0	0	0	0	0	0	
C10C5.11	0	0	0	0	0	0	
C10C5.2	0	0	0	0	0	0	
C10C5.3	0	0	0	0	0	0	
C10C5.4	0	0	0	0	0	0	
C10C5.5	0	0	0	0	0	0	
C10C5.7	0	0	0	0	0	0	
C10C5.9	0	0	0	0	0	0	
C10C6.11	0	0	0	0	0	0	
C10C6.12	0	0	0	0	0	0	
C10C6.3	0	0	0	0	0	0	
C10C6.6	105.21	149.72	183.36	212.36	88.84	225.89	
C10C6.7	10.19	12.22	0.53	0	10.51	0	
C10C6.8	0	0	0	0	0	0	
C10C6.9	4.65	6.24	0.7	0	1.1	0.56	
C10E2.1	0	0	0	0	0	0	
C10E2.2	41.95	0	0	0.32	0	0	
C10E2.4	0	2.84	0	0	0	0	
C10E2.5	0	0	0	0	0	0	
C10E2.6	149.27	186.08	81.93	131.67	62.19	30.81	
C10E2.7	7.34	0	0	0	0	0	
C10E2.8	0	0	0	0	0	0	
C10F3.10	0	0	0	0	0	0	
C10F3.11	0	0	0	0	0	0	
C10F3.12	0	0	0	0	0	0	
C10F3.13	0	0	0	0	0	0	
C10F3.14	0	0	0	0	0	0	
C10F3.15	0	0	0	0	0	0	
C10F3.16	0	0	0	0	0	0	
C10F3.17	0	0	0	0	0	0	
C10F3.4	3.61	4.21	16.68	12.26	0	1.66	
C10F3.7	0	0	0	0	0	0	
C10F3.9	0	0	0	0	0	0	
C10G11.1	0	0	0	0	0	0	
C10G11.10	0	0	0	0	0	0	
C10G11.12	0	0	0	0	0	0	
C10G11.13	0	0	0	0	0	0	
C10G11.14	0	0	0	0	0	0	
C10G11.15	0	0	0	0	0	0	
C10G11.16	0	0	0	0	0	0	
C10G11.17	0	0	0	0	0	0	
C10G11.6	2.7	0	0	0	0	0	
C10G11.7	379.67	540.94	435.84	379.41	557.77	429.46	
C10G11.8	0	0	0	0	0	0	
C10G11.9	0	0	0	0	0	0	
C10G6.51	0	0	0	0	0	0	
C10G6.52	0	0	0	0	0	0	
C10G6.53	0	0	0	0	0	0	
C10G8.2	0	0	0	0	0	0	
C10G8.3	0	0	0	0	0	0	
C10G8.4	0	0	0	0	0	0	
C10G8.8	0	0	0	0	0	0	
C10G8.9	0	0	0	0	0	0	
C10G8.t1	0	0	0	0	0	0	
C10H11.11	0	0	0	0	0	0	
C10H11.12	0	0	0	0	0	0	
C10H11.13	0	0	0	0	0	0	
C10H11.14	0	0	0	0	0	0	
C10H11.7	0	0	0	0	0	0	
C10H11.8	0	2.21	11.55	0	28.21	0	
C11D2.100	0	0	0	0	0	0	
C11D2.101	0	0	0	0	0	0	
C11D2.2	0	0	0	0	0	0	
C11D2.3	0	0	0	0	0	0	
C11D2.4	223.11	205.9	200.93	108.94	119.2	192.39	
C11D2.7	150.54	134.43	36.59	32.24	12.76	36.84	
C11D2.98	0	0	0	0	0	0	
C11D2.99	0	0	0	0	0	0	
C11E4.1	0	0	0	0	0	0	
C11E4.10	0	0	0	0	0	0	
C11E4.11	0	0	0	0	0	0	
C11E4.12	0	0	0	0	0	0	
C11E4.13	0	0	0	0	0	0	
C11E4.14	0	0	0	0	0	0	
C11E4.15	0	0	0	0	0	0	
C11E4.16	0	0	0	0	0	0	
C11E4.17	0	0	0	0	0	0	
C11E4.2	0	0	0	0	0	0	
C11E4.6	0	0	0	0	0	0	
C11E4.7	0	0	0	0	0	0	
C11E4.8	0	0	0	0	0	0	
C11E4.9	0	0	0	0	0	0	
C11E4.t1	0	0	0	0	0	0	
C11G10.1	0	0	0	0	0	0	
C11G10.10	0	0	0	0	0	0	
C11G10.11	0	0	0	0	0	0	
C11G10.12	0	0	0	0	0	0	
C11G10.13	0	0	0	0	0	0	
C11G10.2	0	0	0	0	0	0	
C11G10.3	0	0	0	0	0	0	
C11G10.4	0	0	0	0	0	0	
C11G10.5	0	0	0	0	0	0	
C11G10.6	0	0	0	0	0	0	
C11G10.7	0	0	0	0	0	0	
C11G10.8	0	0	0	0	0	0	
C11G10.9	0	2.82	0	0	0	0	
C11G10.t1	0	0	0	0	0	0	
C11G6.2	0	0	0	0	0	0	
C11G6.5	0	0	0	0	0	0	
C11G6.6	0	0	0	0	0	0	
C11H1.10	0	0	0	0	0	0	
C11H1.11	0	0	0	0	0	0	
C11H1.2	52.14	57.55	0	12.45	0.23	33.13	
C11H1.3	66.19	51.55	62.48	83.92	10.36	69.81	
C11H1.5	0	0	0	0	0	0	
C11H1.7	24.59	44.05	24.54	11.84	0	0	
C11H1.8	0	0	0	0	0	0	
C11H1.9	0	0	0	0	0	0	
C12C8.2	0	0	0	0	0	0	
C12C8.5	0	0	0	0	0	0	
C12C8.6	0	0	0	0	0	0	
C12C8.7	0	0	0	0	0	0	
C12C8.t1	0	0	0	0	0	0	
C12C8.t2	0	0	0	0	0	0	
C12C8.t3	0	0	0	0	0	0	
C12C8.t4	0	0	0	0	0	0	
C12C8.t5	0	0	0	0	0	0	
C12C8.t6	0	0	0	0	0	0	
C12D12.1	0	0	0	0	0	0	
C12D12.10	0	0	0	0	0	0	
C12D12.3	0	0	0	0	0	0	
C12D12.4	0	0	0	0	0	0	
C12D12.7	0	0	0	0	0	0	
C12D12.9	0	0	0	0	0	0	
C12D5.10	0	0	0	0	0	0	
C12D5.3	0	0	0	0	0	0	
C12D5.4	0	0	0	0	0	0	
C12D5.5	0	0	0	0	0	0	
C12D5.9	0	0	0	0	0	0	
C12D8.1	78.77	102.85	111.04	78.5	212.47	179.68	
C12D8.13	0	0	0	0	0	0	
C12D8.15	0	0	0	0	0	0	
C12D8.2	0	0	0	0	0	0	
C12D8.20	0	0	0	0	0	0	
C12D8.21	0	0	0	0	0	0	
C12D8.22	0	0	0	0	0	0	
C12D8.23	0	0	0	0	0	0	
C12D8.24	0	0	0	0	0	0	
C12D8.25	0	0	0	0	0	0	
C12D8.3	0	0	0	0	0	0	
C12D8.7	0	0	0	0	0	0	
C12D8.9	0	0	0	0	0	0	
C13A10.1	0	0	0	0	0	0	
C13A10.2	40.74	0	0	0	6.55	0	
C13A10.4	0	0	0	0	0	0	
C13A10.5	0	0	0	0	0	0	
C13A2.1	0	0	0	0	0	0	
C13A2.10	0	0	0	0	0	0	
C13A2.11	0	0	0	0	0	0	
C13A2.12	0	0	0	0	0	0	
C13A2.2	0	0	0	0	0	0	
C13A2.3	0	0	0	0	0	0	
C13A2.4	0	0	0	0	0	0	
C13A2.5	0	0	0	0	0	0	
C13A2.6	0	0	0	0	0	0	
C13A2.7	0	0	0	0	0	0	
C13A2.8	0	0	0	0	0	0	
C13A2.9	0	0	0	0	0	0	
C13B4.1	58.75	48.42	3.16	84.39	9.44	71.22	
C13B4.5	0	0	0	0	0	6.04	
C13B4.6	0	0	0	0	0	0	
C13B4.t1	0	0	0	0	0	0	
C13B7.6	0	0	0	0	0	0	
C13B9.2	2.1	0	8.25	0	0	0	
C13B9.3	214.98	162.37	193.19	175.57	225.64	234.11	
C13B9.5	0	0	0	0	0	0	
C13C12.2	3.43	0	0	0	0	0	
C13C12.4	0	0	0	0	0	0	
C13C12.5	0	0	0	0	0	0	
C13C12.6	0	0	0	0	0	0	
C13C4.10	0	0	0	0	0	0	
C13C4.11	0	0	0	0	0	0	
C13C4.12	0	0	0	0	0	0	
C13C4.4	60.93	14.14	69.91	28.48	14.7	45.4	
C13C4.5	0	1	0	9.4	0	0.72	
C13C4.6	0	0	0	0	0	0	
C13C4.7	0	0	0	0	0	0	
C13C4.8	0	0	0	0	0	0	
C13C4.9	0	0	0	0	0	0	
C13D9.13	0	0	0	0	0	0	
C13E3.1	19.29	0	0	0	0	0	
C13F10.1	0	0	0	0	0	0	
C13F10.2	43.41	26.58	34.8	24.57	37.3	16.45	
C13F10.4	58.41	42.12	32.2	42.51	16.28	30.95	
C13F10.5	69.33	38.84	105.31	32.43	167.61	53.38	
C13F10.6	183.06	194.56	171.85	132	129.45	123.25	
C13F10.7	380.88	391.03	307.18	195.09	392.47	161.07	
C13G3.1	0	0	0	0	0	0	
C13G3.10	0	0	0	0	0	0	
C13G3.11	0	0	0	0	0	0	
C13G3.4	0	0	0	0	0	0	
C13G3.5	0	0	0	0	0	0	
C13G3.6	0	0	0	0	0	0	
C13G3.7	0	0	0	0	0	0	
C13G3.8	0	0	0	0	0	0	
C13G3.9	0	0	0	0	0	0	
C13G5.2	169.59	175.26	132.73	135.02	143.78	127.93	
C13G5.3	0	0	0	0	0	0	
C14A11.10	0	0	0	0	0	0	
C14A11.11	0	0	0	0	0	0	
C14A11.2	0	0	0	0	0	0	
C14A11.5	0	0	0	0	0	0	
C14A11.6	0	0	0	0	0	0	
C14A11.9	94.2	71.22	66.79	58.01	142.72	45.12	
C14A4.11	328.78	364.9	366.69	252.75	275.18	283.81	
C14A4.12	0	0	0	0	0	0.55	
C14A4.13	0	0	0	0	0	0	
C14A4.14	83.68	58.55	12.29	62.1	121.28	115.51	
C14A4.3	123.07	177.12	61.89	117.73	141.27	224.73	
C14A4.6	0	0.31	0	0.6	0	0	
C14A4.7	0	0	0	0	0	0	
C14A4.8	0	0	0	0	0	0	
C14A4.9	0	0	0	0	0	0	
C14A6.10	0	0	0	0	0	0	
C14A6.12	0	0	0	0	0	0	
C14A6.13	0	0	0	0	0	0	
C14A6.14	0	0	0	0	0	0	
C14A6.15	0	0	0	0	0	0	
C14A6.3	0	0	0	0	0	0	
C14A6.5	0	0	0	0	0	0	
C14A6.6	0	0	0	0	0	0	
C14A6.7	0	0	0	0	0	0	
C14A6.8	0	0	0	0	0	0	
C14A6.9	0	0	0	0	0	0	
C14B1.10	2.29	8.25	11.8	4.73	5.32	8.21	
C14B1.12	73.32	125.04	79.28	60.7	8.91	61.38	
C14B1.2	253.94	229.9	213.79	170.44	350.41	164.48	
C14B1.3	73.22	63.26	119.02	82.84	29.79	39.55	
C14B1.6	44.83	97.28	40.57	46.89	42.76	139.95	
C14B1.7	7.06	6.39	0.71	13.97	18.82	28.09	
C14B1.8	80.67	50	278.06	85.87	209.96	79.16	
C14B1.9	332.68	318.11	255.18	277.12	275.8	331.47	
C14B4.2	0	0	0	0	0	0	
C14B4.t1	0	0	0	0	0	0	
C14B9.10	242.86	331.76	79.9	43.92	103.7	53.91	
C14B9.11	0	0	0	0	0	0	
C14B9.12	0	0	0	0	0	0	
C14B9.13	0	0	0	0	0	0	
C14B9.14	0	0	0	0	0	0	
C14B9.2	3.4	4.56	92.65	46.51	2.67	9.34	
C14B9.3	6.91	6.72	0.31	2.25	1.3	1	
C14B9.8	57.09	43.37	1.98	34.44	77.5	96.15	
C14B9.t1	0	0	0	0	0	0	
C14B9.t2	0	0	0	0	0	0	
C14C10.1	0	0	0	0	0	0	
C14C10.2	22.7	91.61	0	7.48	0	41.13	
C14C10.4	46.75	9.36	41.49	10.47	54.09	61.69	
C14C10.5	23.4	34.35	73.36	92.34	34.32	94.7	
C14C10.6	169.75	151.04	145.2	65.17	168.99	32.73	
C14C10.8	0	0	0	0	0	0	
C14C10.9	0	0	0	0	0	0	
C14C11.1	0	0.71	0	0.92	0	4.61	
C14C11.10	0	0	0	0	0	0	
C14C11.11	0	0	0	0	0	0	
C14C11.2	30.61	10.04	19.73	60.59	33.57	64.04	
C14C11.4	0	0	0	0	0	0	
C14C11.7	28.75	42.74	31.9	18.72	100.57	29.24	
C14C11.9	0	0	0	0	0	0	
C14C6.12	0	0	0	0	0	0	
C14C6.13	0	0	0	0	0	0	
C14C6.2	0	0	0	0	0	0	
C14C6.3	0	0	0	0	0	0	
C14C6.5	0	0	0	0	0	0	
C14C6.6	0	0	0	0	0	0	
C14C6.7	0	0	0	0	0	0	
C14C6.8	0	0	0	0	0	0	
C14E2.1	0	0	0	0	0	0	
C14E2.10	0	0	0	0	0	0	
C14E2.2	0	0	0	0	0	0	
C14E2.3	0	0	0	0	0	0	
C14E2.4	0	0	0	0	0	0	
C14E2.5	0	0	0	0	0	0	
C14E2.6	0	0	0	0	0	0	
C14E2.7	0	0	0	0	0	0	
C14E2.9	0	0	0	0	0	0	
C14E2.t1	0	0	0	0	0	0	
C14F11.1	258.93	243.26	252.6	257.16	159.14	304.21	
C14F11.10	0	0	0	0	0	0	
C14F11.11	0	0	0	0	0	0	
C14F11.12	0	0	0	0	0	0	
C14F11.13	0	0	0	0	0	0	
C14F11.14	0	0	0	0	0	0	
C14F11.15	0	0	0	0	0	0	
C14F11.16	0	0	0	0	0	0	
C14F11.17	0	0	0	0	0	0	
C14F11.18	0	0	0	0	0	0	
C14F11.19	0	0	0	0	0	0	
C14F11.2	11.86	2.65	1.42	8.24	0	0	
C14F11.20	0	0	0	0	0	0	
C14F11.21	0	0	0	0	0	0	
C14F11.22	0	0	0	0	0	0	
C14F11.23	0	0	0	0	0	0	
C14F11.24	0	0	0	0	0	0	
C14F11.25	0	0	0	0	0	0	
C14F11.26	0	0	0	0	0	0	
C14F11.27	0	0	0	0	0	0	
C14F11.28	0	0	0	0	0	0	
C14F11.29	0	0	0	0	0	0	
C14F11.30	0	0	0	0	0	0	
C14F11.31	0	0	0	0	0	0	
C14F11.32	0	0	0	0	0	0	
C14F11.33	0	0	0	0	0	0	
C14F11.34	0	0	0	0	0	0	
C14F11.4	0	0	0	0	0	0	
C14F11.6	0	0	0	0	0	0	
C14F11.7	0	0	0	0	0	0	
C14F11.8	0	0	0	0	0	0	
C14F11.9	0	0	0	0	0	0	
C14F11.t1	0	0	0	0	0	0	
C14F5.10	0	0	0	0	0	0	
C14F5.11	0	0	0	0	0	0	
C14F5.7	0	0	0	0	0	0	
C14F5.8	0	0	0	0	0	0	
C14F5.9	0	0	0	0	0	0	
C14H10.1	0	0	0	0	0	0	
C14H10.2	12.93	1.3	0	2.81	0	0	
C14H10.3	0.21	0	3.7	2.47	0	5.97	
C14H10.5	0	0	0	0	0	0	
C14H10.6	0	0	0	0	0	0	
C15A11.2	0	0	0	0	0	0	
C15A11.4	0	0	0	0	0	0	
C15A11.7	0	0	0	0	0	0	
C15A7.2	0	0	0	0	0	0	
C15A7.5	0	0	0	0	0	0	
C15A7.6	0	0	0	0	0	0	
C15A7.7	0	0	0	0	0	0	
C15B12.1	0	0	0	0	0	0	
C15B12.10	0	0	0	0	0	0	
C15B12.11	0	0	0	0	0	0	
C15B12.12	0	0	0	0	0	0	
C15B12.13	0	0	0	0	0	0	
C15B12.14	0	0	0	0	0	0	
C15B12.15	0	0	0	0	0	0	
C15B12.2	0	0	0	0	0	0	
C15B12.3	0	0	0	0	0	0	
C15B12.4	0	0	0	0	0	0	
C15B12.6	56.45	35.34	132.12	55.12	97.57	97.92	
C15B12.8	0	0	1.52	0	0	0	
C15B12.9	0	0	0	0	0	0	
C15C6.1	50.29	0.32	3.87	2.49	0	0	
C15C6.2	0	0	0	0	0	0	
C15C6.3	0	0	0.51	1.98	0	0	
C15C6.4	141.19	132.5	136.88	24.4	65.73	42.9	
C15C6.5	0	0	0	0	0	0	
C15C6.6	0	0	0	0	0	0	
C15C6.t1	0	0	0	0	0	0	
C15C7.10	0	0	0	0	0	0	
C15C7.11	0	0	0	0	0	0	
C15C7.12	0	0	0	0	0	0	
C15C7.13	0	0	0	0	0	0	
C15C7.4	0	0	0	0	0	0	
C15C7.5	81.82	53.26	147.52	29.54	200.93	47.96	
C15C7.6	0	0	0	0	0	0	
C15C7.7	15.96	13.24	43.33	23.38	0	16.52	
C15C8.1	0	0	0	0	0	0	
C15C8.10	0	0	0	0	0	0	
C15C8.11	0	0	0	0	0	0	
C15C8.3	0	0	0	0	0	0	
C15C8.4	263.86	243.19	79.66	191.27	307.32	187.83	
C15C8.5	0	0	0	0	0	0	
C15C8.6	0	0	0	0	0	0	
C15C8.7	238.17	178.63	142.91	48.37	171.09	39.05	
C15C8.8	0	0	0	0	0	0	
C15C8.9	0	0	0	0	0	0	
C15F1.1	0	0	0	0	0	0	
C15F1.12	0	0	0	0	0	0	
C15F1.13	0	0	0	0	0	0	
C15F1.14	0	0	0	0	0	0	
C15F1.2	0	0	0	1.38	6.11	0	
C15F1.5	0.23	31.07	8.15	1.36	0	37.96	
C15F1.8	0	0	0	0	0	0	
C15H11.1	0	0	0	0	0	0	
C15H11.10	0	0	0	0	0	0	
C15H11.11	0	0	0	0	0	0	
C15H11.12	0	0	0	0	0	0	
C15H11.13	0	0	0	0	0	0	
C15H11.8	292.65	338.71	263	86.07	405.96	82.5	
C15H7.10	0	0	0	0	0	0	
C15H7.2	0	0	0	0	0	0	
C15H7.3	0	0	0	0	0	0	
C15H7.4	0	0	0	0	0	0	
C15H7.6	0	0	0	0	0	0	
C15H7.7	0	0	0	0	0	0	
C15H7.8	0	0	0	0	0	0	
C15H7.9	0	0	0	0	0	0	
C15H9.11	0	0	0	0	0	0	
C15H9.12	0	0	0	0	0	0	
C15H9.13	0	0	0	0	0	0	
C15H9.2	0	0	0	0	0	0	
C15H9.3	0	0	0	0	0	0	
C15H9.4	0	0	0	6.59	0	4.65	
C15H9.5	12.5	12.35	28.81	34.58	0	11.09	
C15H9.7	0	0	0	0	0	0	
C15H9.9	0	0	0	0	0	0	
C16A11.10	56.07	20.58	37.21	23.9	55.69	10.35	
C16A11.2	93.63	75.35	94.04	91.84	49.09	83.47	
C16A11.3	0.95	18.8	0	0	0	1.55	
C16A11.4	30.16	75.76	105.34	73.72	19.95	119.82	
C16A11.5	4.64	1.07	0	0	0.19	0	
C16A11.7	0	0	0	0	0	0	
C16A3.1	43.51	20.07	19.98	34.19	16.36	93.15	
C16A3.10	174.12	103.91	68.7	80.62	17.45	172.16	
C16A3.11	1.99	5.99	0	0	0	0	
C16A3.14	0	0	0	0	0	0	
C16A3.15	0	0	0	0	0	0	
C16A3.2	82.16	113.64	88.61	35.26	130.05	46.13	
C16A3.4	150.32	168.59	144.88	150.9	132.8	128.71	
C16A3.5	127.3	195.72	64.92	119.74	171.9	149.4	
C16A3.6	38.55	23.32	0	28.64	42.07	2.06	
C16B8.10	0	0	0	0	0	0	
C16B8.11	0	0	0	0	0	0	
C16B8.12	0	0	0	0	0	0	
C16B8.13	0	0	0	0	0	0	
C16B8.2	0	0	0	2.86	0	0	
C16B8.3	0	0	0	0	0	0	
C16B8.4	0	0	0	0	0	0	
C16B8.5	0	0	0	0	0	0	
C16B8.6	0	0	0	0	0	0	
C16B8.7	0	0	0	0	0	0	
C16B8.8	0	0	0	0	0	0	
C16B8.9	0	0	0	0	0	0	
C16B8.t1	0	0	0	0	0	0	
C16B8.t2	0	0	0	0	0	0	
C16B8.t3	0	0	0	0	0	0	
C16C10.1	172.62	130.37	16.83	59.64	149.58	58.85	
C16C10.13	0	0.34	0	16.72	0	0	
C16C10.2	162.85	210.87	106.21	73.53	255.67	59.05	
C16C10.3	119.53	147.06	150.63	215.98	130.88	213.19	
C16C10.4	284.58	271.93	273.31	109.06	315.31	174.58	
C16C10.8	58.86	130.56	3.76	24.2	74.34	4.05	
C16C10.9	1.27	0	0	0	0	0	
C16C2.10	0	0	0	0	0	0	
C16C2.4	321.54	287.01	267.63	231.46	433.05	177.75	
C16C2.5	0	0	0	0	0	0	
C16C2.6	0	0	0	0	0	0	
C16C2.7	0	0	0	0	0	0	
C16C2.8	0	0	0	0	0	0	
C16C2.9	0	0	0	0	0	0	
C16C4.1	0	0	0	0	0	0	
C16C4.17	0	0	0	0	0	0	
C16C4.18	0	0	0	0	0	0	
C16C8.10	0	0	0	0	0	0	
C16C8.11	68.89	119.22	84.15	50.38	167.32	27.75	
C16C8.12	8.86	10.14	32.15	40.57	0	23.97	
C16C8.13	0	0	0	0	0	0.69	
C16C8.14	0.65	0.65	54.67	13.93	16.93	15.54	
C16C8.16	112.92	95.62	73.12	45.53	83.76	7.26	
C16C8.17	0	0	0	0	0	0	
C16C8.18	0	0	0	0	0	0	
C16C8.19	0	0	0	0	0	0	
C16C8.2	0	0	0	0	0	0	
C16C8.20	0	22.61	0	9.49	15.44	2.65	
